Gene,DiffusionScore
TRIM67,0.002766682883531668
ZRANB1,0.0023378524083880205
PARK2,0.0019447895321017448
RPA1,0.0017043234290370763
KIAA1429,0.0016617363142583791
PLEKHA4,0.001660658355233201
MYC,0.0016488373005882904
RPA2,0.0016208294249434494
RPA3,0.0016052665769819186
CUL3,0.001497849283508408
TRIM25,0.0014303708270069148
APP,0.0013817146490676697
ESR2,0.001323042378235611
ESR1,0.0012856649937305327
TP53,0.0012703039425383774
HSPA8,0.0012217639595153088
ELAVL1,0.0011784599298996607
CCNF,0.0011560062618210369
NTRK1,0.0011496102662345827
HNRNPL,0.001137148504764226
UBE2H,0.0010890842264955
CDC123,0.001079670569423346
DDX58,0.0010447960602158516
RAF1,0.0010346143399008107
KIF14,0.0010149222286681711
EGFR,0.0009937410449382593
ANLN,0.0009892728272738681
HIST1H4A,0.0009684742540473794
TGOLN2,0.000961226200406739
UBC,0.0009382886184723362
CFTR,0.0009121931418814368
HSPA5,0.0009011033401111239
HNRNPH1,0.0008955482484217681
BRD4,0.0008781619487589075
HSPA1A,0.0008778675261106787
TIPARP,0.0008533322762708473
TOP3B,0.0008436835901506132
STAU1,0.0008348573264466035
XPO1,0.0008276420936104737
EZH2,0.0008167019489561799
RNF4,0.0008075057568525665
TRIM28,0.0008067959783638174
VCP,0.0007969004617358461
CEBPB,0.0007891492557707524
SERBP1,0.0007885661399766898
EFTUD2,0.0007868311490482633
CIT,0.0007800440520237406
RECQL4,0.0007785027704080238
NR2C2,0.0007677244717021901
SOX2,0.0007630220086573593
MOV10,0.0007557787634084102
NXF1,0.0007543222731412955
MYCN,0.0007449198999355737
EP300,0.0007415198171522549
BIRC3,0.0007316135047621793
C9orf72,0.0007309513489239303
CANX,0.0007290443138750179
EGLN3,0.0007289733011438055
CDC42,0.0007285056145426086
HSP90AA1,0.0007190623983543239
LMNA,0.0007186994534382109
BRCA1,0.0007173786468054314
PARP1,0.0007165654707960582
APEX1,0.0007142313388827724
BAP1,0.0007109165788854619
SQSTM1,0.0007018940515897465
MECP2,0.0006936412604149315
DDRGK1,0.000688713101137005
TNIP1,0.0006763021916024277
YWHAZ,0.0006759247314186231
RHOA,0.0006749395540407918
DDX39A,0.000670531671969093
YWHAG,0.0006647851370313426
KRAS,0.0006640344834701724
ACE2,0.0006596512553732788
YWHAE,0.0006530285954913731
CEBPA,0.0006512246661390786
PRNP,0.0006434169711792086
NPM1,0.000640276672869984
ATG16L1,0.0006391948897624791
FZR1,0.0006223967825630373
YWHAQ,0.0006223605483980986
PHB,0.0006147289913102072
COPS5,0.0006087924856641796
YAP1,0.0006058709168825377
YWHAH,0.0006018107352505041
WDR5,0.0006006708314722041
LARP7,0.000600368356709025
HDAC1,0.0005980320247042981
MEN1,0.0005901032372178459
HUWE1,0.0005886273930547389
MCM2,0.0005868812342027042
KIF20A,0.0005827058231351746
NR3C1,0.0005711877117924075
UFL1,0.0005692151556799703
RAC1,0.0005686702171992227
KIF23,0.0005682098428937757
CAPZB,0.0005664076864778512
ACTB,0.0005651224582744273
AR,0.0005647558078177747
RBM39,0.0005604508955585259
HSPD1,0.0005531804448654407
STIP1,0.0005527879916348267
YWHAB,0.0005494098037232784
LMBR1L,0.000543542308146509
MAPT,0.0005418018974234248
SMC5,0.0005416608375379469
NAA40,0.0005377830578654709
AGR2,0.0005361362436371536
PRC1,0.0005355401977524608
HNRNPU,0.0005352967883486526
CTNNB1,0.0005330685706082248
HECTD1,0.0005328120599821938
TNIP2,0.0005323410394124955
