Gene,DiffusionScore
TRIM67,0.0027741809815262646
ZRANB1,0.0023577231988362586
PARK2,0.001951960700579568
RPA1,0.0017208895430193083
PLEKHA4,0.0016765421616988868
KIAA1429,0.001675063292810423
MYC,0.0016627090208997653
RPA2,0.0016362447472288843
RPA3,0.0016206086123173565
CUL3,0.0015098785419840955
TRIM25,0.0014376121548099008
APP,0.0013704892266536899
ESR2,0.0013164537372709199
ESR1,0.0012932765068817316
TP53,0.0012605977995327645
HSPA8,0.0012294998043011671
ELAVL1,0.0011755186666979043
CCNF,0.0011670869433123387
NTRK1,0.0011566777165743173
HNRNPL,0.0011359112312804179
UBE2H,0.001099243822963699
CDC123,0.0010686909183746482
RAF1,0.0010413735796047942
DDX58,0.0010361468143077171
KIF14,0.0010216015982288755
EGFR,0.0009966452799951358
ANLN,0.0009965035945156526
HIST1H4A,0.0009790812139970542
TGOLN2,0.0009499449210777395
UBC,0.0009430437813986478
HNRNPH1,0.0008954554385869369
HSPA5,0.0008931834669822866
BRD4,0.0008876286603499011
HSPA1A,0.0008844171400522622
CFTR,0.0008819208674275483
TIPARP,0.000862383733234857
TOP3B,0.0008487906958419913
STAU1,0.0008447480458852877
XPO1,0.0008357895252067213
EZH2,0.0008224513619457762
TRIM28,0.0008151972718724441
RNF4,0.0008130172636295913
VCP,0.0007987054114166391
SERBP1,0.0007967943618284282
CEBPB,0.000796487206342728
EFTUD2,0.0007960774434558905
RECQL4,0.0007879321084810028
CIT,0.0007871956895782738
NR2C2,0.0007772229000557136
SOX2,0.0007662421769460288
NXF1,0.0007610666240003909
MYCN,0.0007543695510432524
MOV10,0.0007442352321275816
EP300,0.0007433054635364809
C9orf72,0.0007397815290203333
BIRC3,0.0007386001554535305
EGLN3,0.0007355420161460705
CDC42,0.0007329993132125814
CANX,0.0007282170901593912
PARP1,0.000722701382502474
LMNA,0.0007213422504978601
APEX1,0.0007181660692992972
BAP1,0.0007174266645823528
HSP90AA1,0.000715563388808443
BRCA1,0.0007057591868124598
MECP2,0.0007025204703169913
SQSTM1,0.0006988796672241545
DDRGK1,0.0006952496737946792
TNIP1,0.0006826209253331579
YWHAZ,0.0006775729734151726
RHOA,0.0006772980143336118
YWHAG,0.0006696911599227774
DDX39A,0.0006634855835468725
KRAS,0.0006627903200079566
YWHAE,0.0006586949400747786
CEBPA,0.0006583607718103123
NPM1,0.0006472946658047026
ATG16L1,0.000645065969992266
ACE2,0.0006439716272527027
PRNP,0.0006426091246378963
FZR1,0.0006267590162388082
YWHAQ,0.0006222891088444092
PHB,0.000620752218315947
YAP1,0.0006118177948963955
COPS5,0.0006115158985310997
LARP7,0.0006086590985387995
YWHAH,0.0006077196034430413
WDR5,0.0006063977818580596
